web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
1737993357-1,https://www.expat-dakar.com/ordinateurs?page=100,"Lenevo Thinkpad T14 Gen4 i7/32/512 13Th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 12:04
                                    
                    650 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/lenevo-thinkpad-t14-gen4-i732512-13th-gen-6234985,Neuf,Lenovo,Noire,Corei7,16.0,512.0,650 000 F Cfa
1737993360-2,https://www.expat-dakar.com/ordinateurs?page=100,"MacBook Pro Touchbar Corei7 512/16
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 12:16
                                    
                    400 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/macbook-pro-touchbar-corei7-51216-6234991,Neuf,Apple,Gris,Corei7,16.0,512.0,400 000 F Cfa
1737993362-3,https://www.expat-dakar.com/ordinateurs?page=100,"Lenovo L470 i5 7th ram 8
                                VenantLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 16:55
                                    
                                            Vendeur vérifié
                                        
                    145 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096",https://www.expat-dakar.com/annonce/lenovo-l470-i5-7th-ram-8-4097258,Venant,Lenovo,Gris,i5 7th,8.0,500.0,145 000 F Cfa
1737993365-4,https://www.expat-dakar.com/ordinateurs?page=100,"MacBook Pro 2015
                                VenantApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 15:15
                                    
                                            Vendeur vérifié
                                        
                    170 000 F Cfa
                        
                        775723147
                    
                        775723147",https://www.expat-dakar.com/annonce/macbook-pro-2015-6235097,Venant,Apple,Gris,i5,16.0,512.0,170 000 F Cfa
1737993367-5,https://www.expat-dakar.com/ordinateurs?page=100,"Lenovo Thinkpad X1 Carbon Gen11 i7/1To/32 13Th Gen
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        14. déc. '24, 17:34
                                    
                    750 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/lenovo-thinkpad-x1-carbon-gen11-i71to32-13th-gen-6235148,Neuf,Lenovo,Noire,Corei7,32.0,1024.0,750 000 F Cfa
1737993370-6,https://www.expat-dakar.com/ordinateurs?page=100,"Acer nitro 5 Gtx 1650 4Go DDR6
                                VenantAcer
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        14. déc. '24, 23:18
                                    
                    350 000 F Cfa
                        
                        774608787",https://www.expat-dakar.com/annonce/acer-nitro-5-gtx-1650-4go-ddr6-6235252,Venant,Acer,Gris,Core i5 10e génération,24.0,512.0,350 000 F Cfa
1737993372-7,https://www.expat-dakar.com/ordinateurs?page=100,"Écran HP 24 Pouces 524sh Series 5 - 23.8"" FHD
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        15. déc. '24, 00:34
                                    
                    130 000 F Cfa
                        
                        781169494
                    
                        769313904",https://www.expat-dakar.com/annonce/ecran-hp-24-pouces-524sh-series-5-238-fhd-6175400,Neuf,HP,Gris,i5,16.0,512.0,130 000 F Cfa
1737993375-8,https://www.expat-dakar.com/ordinateurs?page=100,"Macbook Pro 13"" M2 2022 512/16
                                VenantApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        15. déc. '24, 08:46
                                    
                    635 000 F Cfa
                        
                        779320003",https://www.expat-dakar.com/annonce/macbook-pro-13-m2-2022-51216-6235276,Venant,Apple,Gris,i5,16.0,512.0,635 000 F Cfa
1737993377-9,https://www.expat-dakar.com/ordinateurs?page=100,"DELL7480
                                RéconditionnéDell
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        15. déc. '24, 08:49
                                    
                    140 000 F Cfa
                        
                        765644956",https://www.expat-dakar.com/annonce/dell7480-6235214,Réconditionné,Dell,Noir,Core i5,8.0,512.0,140 000 F Cfa
1737993382-10,https://www.expat-dakar.com/ordinateurs?page=99,"MacBook Air M1
                                NeufApple
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        15. déc. '24, 10:04
                                    
                    450 000 F Cfa
                        
                        776774886
                    
                        762676060
                    
                        776774886",https://www.expat-dakar.com/annonce/macbook-air-m1-6235351,Neuf,Apple,Silver,M1,8.0,512.0,450 000 F Cfa
1737993384-11,https://www.expat-dakar.com/ordinateurs?page=99,"MacBook Air m3 2024
                                VenantApple
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        15. déc. '24, 10:06
                                    
                    700 000 F Cfa
                        
                        773683555
                    
                        773683555
                    
                        776829192",https://www.expat-dakar.com/annonce/macbook-air-m3-2024-6235353,Venant,Apple,Bleu,M3,8.0,512.0,700 000 F Cfa
1737993388-12,https://www.expat-dakar.com/ordinateurs?page=99,"HP840 G3 core i5 6th
                                NeufHP
                                                                                    Amitié,
                                                                                Dakar
                                    
                                        15. déc. '24, 10:34
                                    
                    150 000 F Cfa
                        
                        777220605",https://www.expat-dakar.com/annonce/hp840-g3-core-i5-6th-6152748,Neuf,HP,Gris,i5,16.0,512.0,150 000 F Cfa
1737993390-13,https://www.expat-dakar.com/ordinateurs?page=99,"HP Elitebook 860 G10 cor i7 de 13th gen
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        15. déc. '24, 12:26
                                    
                    650 000 F Cfa
                        
                        772241985
                    
                        774836565",https://www.expat-dakar.com/annonce/hp-elitebook-860-g10-cor-i7-de-13th-gen-6177826,Neuf,HP,Alluminium,Intel cor i7 de 13th gen,16.0,512.0,650 000 F Cfa
