web-scraper-order,web-scraper-start-url,link,link-href,prix,etat,marque,dimension
"1738770915-1","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR HISENSE 75POUCES SMART UHD 4K
                                NeufHisense
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:31
                                    
                    589 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/televiseur-hisense-75pouces-smart-uhd-4k-6162430","589 000 F Cfa","Neuf","Hisense","75.0 Pouces"
"1738770918-2","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR SAMSUNG 50POUCES
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:44
                                    
                    319 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/televiseur-samsung-50pouces-6162636","319 000 F Cfa","Neuf","Samsung","50.0 Pouces"
"1738770920-3","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR SAMSUNG 55POUCES
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:49
                                    
                    429 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/televiseur-samsung-55pouces-6162651","429 000 F Cfa","Neuf","Samsung","55.0 Pouces"
"1738770923-4","https://www.expat-dakar.com/tv-home-cinema?page=100","80000 Chaines IPTV 4K
                                NeufAutre
                                                                                    Grand-Yoff,
                                                                                Dakar
                                    
                                        20. déc. '24, 13:08
                                    
                                            Vendeur vérifié
                                        
                    45 000 F Cfa
                        
                        772578471","https://www.expat-dakar.com/annonce/80000-chaines-iptv-4k-3500739","45 000 F Cfa","Neuf","Autre",""
"1738770925-5","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR 50POUCES SMART TECHNOLOGY TV LED
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:55
                                    
                    169 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/televiseur-50pouces-smart-technology-tv-led-6164221","169 000 F Cfa","Neuf","Autre","50.0 Pouces"
"1738770928-6","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR SMART TECHNOLOGY 50POUCES TV LED
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 23:09
                                    
                    169 000 F Cfa
                        
                        756335874","https://www.expat-dakar.com/annonce/televiseur-smart-technology-50pouces-tv-led-6164230","169 000 F Cfa","Neuf","Autre","50.0 Pouces"
"1738770930-7","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR 65POUCES SAMSUNG UHD 4K
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:44
                                    
                    469 000 F Cfa
                        
                        787352634","https://www.expat-dakar.com/annonce/televiseur-65pouces-samsung-uhd-4k-6164329","469 000 F Cfa","Neuf","Samsung","65.0 Pouces"
"1738770933-8","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR 65POUCES SAMSUNG UE
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:43
                                    
                    479 000 F Cfa
                        
                        787962051","https://www.expat-dakar.com/annonce/televiseur-65pouces-samsung-ue-6164342","479 000 F Cfa","Neuf","Samsung","65.0 Pouces"
"1738770935-9","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR SAMSUNG 65POUCES SMART
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 23:06
                                    
                    479 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/televiseur-samsung-65pouces-smart-6164343","479 000 F Cfa","Neuf","Samsung","65.0 Pouces"
"1738770938-10","https://www.expat-dakar.com/tv-home-cinema?page=100","TÉLÉVISEUR SAMSUNG 65POUCES QLED 65Q60D
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 23:09
                                    
                    649 000 F Cfa
                        
                        756335874","https://www.expat-dakar.com/annonce/televiseur-samsung-65pouces-qled-65q60d-6164369","649 000 F Cfa","Neuf","Samsung","65.0 Pouces"
"1738770940-11","https://www.expat-dakar.com/tv-home-cinema?page=100","VIP
    
                                    SMART TV FINIX 55 POUCES WIFI ANDROID UHD
                                NeufAutre
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        Hier, 11:35
                                    
                                            Vendeur vérifié
                                        
            245 000 F Cfa
        
                    265 000 F Cfa
                        
            Économisez 7.5%
        
                        775267261","https://www.expat-dakar.com/annonce/smart-tv-finix-55-pouces-wifi-android-uhd-6273283","245 000 F Cfa
        
                    265 000 F Cfa
                        
            Économisez 7.5%","Neuf","Autre","55.0 Pouces"
"1738770945-12","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR SAMSUNG 75POUCES SMART 4K
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 23:05
                                    
                    749 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/televiseur-samsung-75pouces-smart-4k-6164388","749 000 F Cfa","Neuf","Samsung","75.0 Pouces"
"1738770948-13","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 75POUCES SAMSUNG
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:47
                                    
                    749 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/televiseur-75pouces-samsung-6164395","749 000 F Cfa","Neuf","Samsung","75.0 Pouces"
"1738770950-14","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 75POUCES SAMSUNG
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:53
                                    
                    749 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/televiseur-75pouces-samsung-6164409","749 000 F Cfa","Neuf","Samsung","75.0 Pouces"
"1738770953-15","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 65POUCES SAMSUNG SMART TV 4K
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:30
                                    
                    479 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/televiseur-65pouces-samsung-smart-tv-4k-6165268","479 000 F Cfa","Neuf","Samsung","65.0 Pouces"
"1738770955-16","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 65POUCES SAMSUNG QLED
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:38
                                    
                    649 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/televiseur-65pouces-samsung-qled-6165285","649 000 F Cfa","Neuf","Samsung","65.0 Pouces"
"1738770957-17","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 75POUCES SAMSUNG UE
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:43
                                    
                    749 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/televiseur-75pouces-samsung-ue-6165295","749 000 F Cfa","Neuf","Samsung","75.0 Pouces"
"1738770960-18","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR SAMSUNG 75POUCES
                                NeufSamsung
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:36
                                    
                    749 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/televiseur-samsung-75pouces-6165299","749 000 F Cfa","Neuf","Samsung","75.0 Pouces"
"1738770963-19","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 85POUCES SAMSUNG SMART TV UHD 4K
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:05
                                    
                    1 500 000 F Cfa
                        
                        787352634","https://www.expat-dakar.com/annonce/televiseur-85pouces-samsung-smart-tv-uhd-4k-6165314","1 500 000 F Cfa","Neuf","Samsung","85.0 Pouces"
"1738770965-20","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 85POUCES SAMSUNG QLED
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:12
                                    
                    1 800 000 F Cfa
                        
                        787962051","https://www.expat-dakar.com/annonce/televiseur-85pouces-samsung-qled-6165321","1 800 000 F Cfa","Neuf","Samsung","85.0 Pouces"
"1738770967-21","https://www.expat-dakar.com/tv-home-cinema?page=99","TÉLÉVISEUR 77POUCES SAMSUNG SMART TV 4K OLED
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:12
                                    
                    2 500 000 F Cfa
                        
                        787962051","https://www.expat-dakar.com/annonce/televiseur-77pouces-samsung-smart-tv-4k-oled-6165330","2 500 000 F Cfa","Neuf","Samsung","77.0 Pouces"
"1738770972-22","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR SAMSUNG 85POUCES SMART TV UHD 4K
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:33
                                    
                    1 500 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/televiseur-samsung-85pouces-smart-tv-uhd-4k-6165340","1 500 000 F Cfa","Neuf","Samsung","85.0 Pouces"
"1738770975-23","https://www.expat-dakar.com/tv-home-cinema?page=98","BARRE DE SON HISENSE 120W H212 2.1
                                NeufHisense
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:10
                                    
                    98 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/barre-de-son-hisense-120w-h212-21-6158540","98 000 F Cfa","Neuf","Hisense",""
"1738770977-24","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR 98POUCES SAMSUNG QLED 4K
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:50
                                    
                    2 500 000 F Cfa
                        
                        767335517","https://www.expat-dakar.com/annonce/televiseur-98pouces-samsung-qled-4k-6165326","2 500 000 F Cfa","Neuf","Samsung","98.0 Pouces"
"1738770979-25","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR SAMSUNG 75POUCES UHD 4K NEO QLED
                                NeufSamsung
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:09
                                    
                    1 800 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/televiseur-samsung-75pouces-uhd-4k-neo-qled-6165349","1 800 000 F Cfa","Neuf","Samsung","75.0 Pouces"
"1738770982-26","https://www.expat-dakar.com/tv-home-cinema?page=98","Support TV mural pivotant de 32 ""- 60""
                                NeufAutre
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        23. déc. '24, 16:23
                                    
                    15 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/support-tv-mural-pivotant-de-32-60-5623043","15 000 F Cfa","Neuf","Autre",""
"1738770984-27","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR 43POUCES FOX SMART ANDROID
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:38
                                    
                    129 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/televiseur-43pouces-fox-smart-android-6166560","129 000 F Cfa","Neuf","Autre","43.0 Pouces"
"1738770987-28","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR FOX 43POUCES ANDROID 43UHD
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 10:49
                                    
                    129 000 F Cfa
                        
                        776862827","https://www.expat-dakar.com/annonce/televiseur-fox-43pouces-android-43uhd-6166559","129 000 F Cfa","Neuf","Autre","43.0 Pouces"
"1738770989-29","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR 43POUCES SMART TECHNOLOGY SMART
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:43
                                    
                    129 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/televiseur-43pouces-smart-technology-smart-6166564","129 000 F Cfa","Neuf","Autre","43.0 Pouces"
"1738770991-30","https://www.expat-dakar.com/tv-home-cinema?page=98","TÉLÉVISEUR SMART TECHNOLOGY 43POUCES SMART
                                NeufAutre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. déc. '24, 11:17
                                    
                    129 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/televiseur-smart-technology-43pouces-smart-6166566","129 000 F Cfa","Neuf","Autre","43.0 Pouces"
"1738770994-31","https://www.expat-dakar.com/tv-home-cinema?page=98","Smart TV 50’’ Vizio 4K
                                NeufVIZIO
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        14. janv., 13:53
                                    
                    249 000 F Cfa
                        
                        772391010
                    
                        773041633
                    
                        338357221","https://www.expat-dakar.com/annonce/smart-tv-50-vizio-4k-4678235","249 000 F Cfa","Neuf","VIZIO",""
"1738770999-32","https://www.expat-dakar.com/tv-home-cinema?page=97","Smart tv HISENSE 32"" full HD
                                NeufHisense
                                                                                    VDN,
                                                                                Dakar
                                    
                                        26. déc. '24, 11:03
                                    
                    99 900 F Cfa
                        
                        778452442
                    
                        778452442","https://www.expat-dakar.com/annonce/smart-tv-hisense-32-full-hd-2729808","99 900 F Cfa","Neuf","Hisense","32.0 Pouces"
